"","Street","City","State.Code","Zip.Code"
"418","10204 FLATLANDS AVE#","BROOKLYN","NY",11236
"419","98 MONTGOMERY ST","BROOKLYN","NY",11225
"420","6926 5TH AVE","BROOKLYN","NY",11209
"421","25 PUTNAM AVE","BROOKLYN","NY",11238
"422","422 DITMAS AVE","BROOKLYN","NY",11218
"423","532 4TH AVE","BROOKLYN","NY",11215
"424","2425 MCDONALD AVE","BROOKLYN","NY",11223
"425","162 WILLIAMSBURG ST EAST","BROOKLYN","NY",11211
"426","2 BERRY ST","BROOKLYN","NY",11249
"427","344 PENNSYLVANIA AVE","BROOKLYN","NY",11207
"428","5707 8TH AVE","BROOKLYN","NY",11220
"429","1717 AVENUE Z","BROOKLYN","NY",11235
"430","129 OSBORN STREET","BROOKLYN","NY",11212
"431","6511 BAY PARKWAY","BROOKLYN","NY",11204
"432","108-110 MOORE ST","BROOKLYN","NY",11206
"433","1520 AVENUE U","BROOKLYN","NY",11229
"434","8027 FLATLANDS AVE","BROOKLYN","NY",11236
"435","236 PROSPECT PARK WEST","BROOKLYN","NY",11215
"436","497 MEEKER AVE","BROOKLYN","NY",11222
"437","4320 4TH AVE","BROOKLYN","NY",11232
"438","593 METROPOLITAN AVE","BROOKLYN","NY",11211
"439","8772 18TH AVE","BROOKLYN","NY",11214
"440","25 JAY ST","BROOKLYN","NY",11201
"441","620 LORIMER ST","BROOKLYN","NY",11211
"442","729 FULTON ST","BROOKLYN","NY",11217
"443","263 NOSTRAND AVE","BROOKLYN","NY",11216
"444","643 MARCY AVE STORE #1","BROOKLYN","NY",11206
"445","217 NEPTUNE AVE","BROOKLYN","NY",11235
"446","6607 BAY PARKWAY","BROOKLYN","NY",11204
"447","5624 4TH AVE","BROOKLYN","NY",11220
"448","7223 5TH AVENUE","BROOKLYN","NY",11209
"449","502 LORIMER ST #","BROOKLYN","NY",11211
"450","1804 RALPH AVE","BROOKLYN","NY",11236
"451","38-40 BROOKLYN TERMINAL MKT","BROOKLYN","NY",11236
